job_posting_id,small_pred_rank,pred_small_category,pred_small_score,rank,score,job_role_name,job_role_id,large_category,mid_category,small_category
270562,1,인공지능,0.670244038105011,1,0.6246768236160278,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
270562,1,인공지능,0.670244038105011,2,0.5799561738967896,인공지능모델링,20010703,정보통신,정보기술,인공지능
270562,1,인공지능,0.670244038105011,3,0.5706226825714111,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
290649,1,인공지능,0.7437316179275513,1,0.7552216053009033,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
290649,1,인공지능,0.7437316179275513,2,0.7080496549606323,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
290649,1,인공지능,0.7437316179275513,3,0.7006185054779053,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
303541,1,인공지능,0.6580587029457092,1,0.6763670444488525,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
303541,1,인공지능,0.6580587029457092,2,0.6447272300720215,인공지능모델링,20010703,정보통신,정보기술,인공지능
303541,1,인공지능,0.6580587029457092,3,0.6166445016860962,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
304207,1,인공지능,0.8061599135398865,1,0.7568954229354858,인공지능서비스기획,20010702,정보통신,정보기술,인공지능
304207,1,인공지능,0.8061599135398865,2,0.7347109913825989,인공지능서비스구현,20010705,정보통신,정보기술,인공지능
304207,1,인공지능,0.8061599135398865,3,0.7300188541412354,인공지능모델링,20010703,정보통신,정보기술,인공지능
310971,1,인공지능,0.7065525054931641,1,0.7033761143684387,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
310971,1,인공지능,0.7065525054931641,2,0.6676077842712402,인공지능모델링,20010703,정보통신,정보기술,인공지능
310971,1,인공지능,0.7065525054931641,3,0.6637498140335083,인공지능서비스구현,20010705,정보통신,정보기술,인공지능
315036,1,인공지능,0.6836698055267334,1,0.6583962440490723,인공지능서비스구현,20010705,정보통신,정보기술,인공지능
315036,1,인공지능,0.6836698055267334,2,0.6459806561470032,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
315036,1,인공지능,0.6836698055267334,3,0.6363480091094971,인공지능모델링,20010703,정보통신,정보기술,인공지능
318880,1,인공지능,0.708366870880127,1,0.6762430667877197,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
318880,1,인공지능,0.708366870880127,2,0.6473641395568848,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
318880,1,인공지능,0.708366870880127,3,0.6352053880691528,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
320257,1,인공지능,0.6047316789627075,1,0.6014178991317749,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
320257,1,인공지능,0.6047316789627075,2,0.5696476697921753,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
320257,1,인공지능,0.6047316789627075,3,0.514869749546051,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
320477,1,인공지능,0.7151706218719482,1,0.7530965805053711,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
320477,1,인공지능,0.7151706218719482,2,0.7062593698501587,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
320477,1,인공지능,0.7151706218719482,3,0.6877836585044861,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
321495,1,인공지능,0.5117567777633667,1,0.5449428558349609,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
321495,1,인공지능,0.5117567777633667,2,0.45234331488609314,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
321495,1,인공지능,0.5117567777633667,3,0.44601428508758545,인공지능모델링,20010703,정보통신,정보기술,인공지능
322046,1,인공지능,0.5567071437835693,1,0.6124200224876404,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
322046,1,인공지능,0.5567071437835693,2,0.5396736860275269,인공지능모델링,20010703,정보통신,정보기술,인공지능
322046,1,인공지능,0.5567071437835693,3,0.5243703126907349,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
325529,1,인공지능,0.6476376056671143,1,0.588152289390564,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
325529,1,인공지능,0.6476376056671143,2,0.5832939147949219,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
325529,1,인공지능,0.6476376056671143,3,0.5580416321754456,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
325838,1,인공지능,0.7217233180999756,1,0.7139953374862671,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
325838,1,인공지능,0.7217233180999756,2,0.6788735389709473,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
325838,1,인공지능,0.7217233180999756,3,0.6470727324485779,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
326282,1,인공지능,0.6514895558357239,1,0.7013213634490967,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
326282,1,인공지능,0.6514895558357239,2,0.6067357063293457,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
326282,1,인공지능,0.6514895558357239,3,0.6064293384552002,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
328640,1,인공지능,0.7469452023506165,1,0.6981184482574463,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
328640,1,인공지능,0.7469452023506165,2,0.6947762966156006,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
328640,1,인공지능,0.7469452023506165,3,0.6694439649581909,인공지능서비스구현,20010705,정보통신,정보기술,인공지능
329701,1,인공지능,0.6892257332801819,1,0.6455091834068298,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
329701,1,인공지능,0.6892257332801819,2,0.6253430247306824,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
329701,1,인공지능,0.6892257332801819,3,0.5876106023788452,인공지능서비스운영관리,20010704,정보통신,정보기술,인공지능
330402,1,인공지능,0.6497522592544556,1,0.6585074663162231,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
330402,1,인공지능,0.6497522592544556,2,0.6287820935249329,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
330402,1,인공지능,0.6497522592544556,3,0.6181540489196777,인공지능서비스구현,20010705,정보통신,정보기술,인공지능
330496,1,인공지능,0.6343427896499634,1,0.6568726301193237,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
330496,1,인공지능,0.6343427896499634,2,0.6128273010253906,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
330496,1,인공지능,0.6343427896499634,3,0.5927422046661377,인공지능서비스운영관리,20010704,정보통신,정보기술,인공지능
330894,1,인공지능,0.7319985628128052,1,0.7320953011512756,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
330894,1,인공지능,0.7319985628128052,2,0.7173973321914673,인공지능모델링,20010703,정보통신,정보기술,인공지능
330894,1,인공지능,0.7319985628128052,3,0.662104606628418,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
331081,1,인공지능,0.5621538162231445,1,0.5435191988945007,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
331081,1,인공지능,0.5621538162231445,2,0.5226840972900391,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
331081,1,인공지능,0.5621538162231445,3,0.4733726382255554,인공지능서비스구현,20010705,정보통신,정보기술,인공지능
331148,1,인공지능,0.6443871259689331,1,0.6931931972503662,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
331148,1,인공지능,0.6443871259689331,2,0.5957451462745667,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
331148,1,인공지능,0.6443871259689331,3,0.591661274433136,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
331951,1,인공지능,0.7163139581680298,1,0.7032420635223389,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
331951,1,인공지능,0.7163139581680298,2,0.6609172224998474,인공지능모델링,20010703,정보통신,정보기술,인공지능
331951,1,인공지능,0.7163139581680298,3,0.660871148109436,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
331988,1,인공지능,0.7000674605369568,1,0.6737627387046814,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
331988,1,인공지능,0.7000674605369568,2,0.6485205888748169,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
