job_posting_id,rank,job_role_id,score,job_role_name,large_category,mid_category,small_category
318880,3,20010701,0.6352055072784424,인공지능플랫폼구축,정보통신,정보기술,인공지능
320257,1,20010706,0.6014178991317749,인공지능학습데이터구축,정보통신,정보기술,인공지능
320257,2,20010707,0.5696477890014648,생성형AI엔지니어링,정보통신,정보기술,인공지능
320257,3,20010701,0.514869749546051,인공지능플랫폼구축,정보통신,정보기술,인공지능
320477,1,20010707,0.7530965805053711,생성형AI엔지니어링,정보통신,정보기술,인공지능
320477,2,20010701,0.7062594890594482,인공지능플랫폼구축,정보통신,정보기술,인공지능
320477,3,20010706,0.6877835988998413,인공지능학습데이터구축,정보통신,정보기술,인공지능
321495,1,20010706,0.5449428558349609,인공지능학습데이터구축,정보통신,정보기술,인공지능
321495,2,20010707,0.4523433446884155,생성형AI엔지니어링,정보통신,정보기술,인공지능
321495,3,20010703,0.44601428508758545,인공지능모델링,정보통신,정보기술,인공지능
322046,1,20010706,0.6124199032783508,인공지능학습데이터구축,정보통신,정보기술,인공지능
322046,2,20010703,0.5396737456321716,인공지능모델링,정보통신,정보기술,인공지능
322046,3,20010707,0.5243703722953796,생성형AI엔지니어링,정보통신,정보기술,인공지능
325529,1,20010706,0.5881524085998535,인공지능학습데이터구축,정보통신,정보기술,인공지능
325529,2,20010701,0.5832938551902771,인공지능플랫폼구축,정보통신,정보기술,인공지능
325529,3,20010707,0.5580415725708008,생성형AI엔지니어링,정보통신,정보기술,인공지능
325838,1,20010706,0.7139952182769775,인공지능학습데이터구축,정보통신,정보기술,인공지능
325838,2,20010701,0.6788735389709473,인공지능플랫폼구축,정보통신,정보기술,인공지능
325838,3,20010707,0.6470726728439331,생성형AI엔지니어링,정보통신,정보기술,인공지능
326282,1,20010706,0.7013214230537415,인공지능학습데이터구축,정보통신,정보기술,인공지능
326282,2,20010701,0.6067358255386353,인공지능플랫폼구축,정보통신,정보기술,인공지능
326282,3,20010707,0.6064293384552002,생성형AI엔지니어링,정보통신,정보기술,인공지능
328640,1,20010701,0.698118269443512,인공지능플랫폼구축,정보통신,정보기술,인공지능
328640,2,20010706,0.6947765350341797,인공지능학습데이터구축,정보통신,정보기술,인공지능
328640,3,20010705,0.6694440841674805,인공지능서비스구현,정보통신,정보기술,인공지능
329701,1,20010701,0.6455091834068298,인공지능플랫폼구축,정보통신,정보기술,인공지능
329701,2,20010706,0.6253430843353271,인공지능학습데이터구축,정보통신,정보기술,인공지능
329701,3,20010704,0.5876106023788452,인공지능서비스운영관리,정보통신,정보기술,인공지능
330402,1,20010706,0.6585076451301575,인공지능학습데이터구축,정보통신,정보기술,인공지능
330402,2,20010707,0.6287820339202881,생성형AI엔지니어링,정보통신,정보기술,인공지능
330402,3,20010705,0.6181540489196777,인공지능서비스구현,정보통신,정보기술,인공지능
330496,1,20010706,0.656872570514679,인공지능학습데이터구축,정보통신,정보기술,인공지능
330496,2,20010701,0.6128273010253906,인공지능플랫폼구축,정보통신,정보기술,인공지능
330496,3,20010704,0.5927422642707825,인공지능서비스운영관리,정보통신,정보기술,인공지능
330894,1,20010706,0.73209547996521,인공지능학습데이터구축,정보통신,정보기술,인공지능
330894,2,20010703,0.7173975706100464,인공지능모델링,정보통신,정보기술,인공지능
330894,3,20010707,0.6621046662330627,생성형AI엔지니어링,정보통신,정보기술,인공지능
331081,1,20010706,0.5435192584991455,인공지능학습데이터구축,정보통신,정보기술,인공지능
331081,2,20010707,0.5226842164993286,생성형AI엔지니어링,정보통신,정보기술,인공지능
331081,3,20010705,0.47337257862091064,인공지능서비스구현,정보통신,정보기술,인공지능
331148,1,20010706,0.6931931376457214,인공지능학습데이터구축,정보통신,정보기술,인공지능
331148,2,20010707,0.5957452058792114,생성형AI엔지니어링,정보통신,정보기술,인공지능
331148,3,20010701,0.5916612148284912,인공지능플랫폼구축,정보통신,정보기술,인공지능
331951,1,20010706,0.7032419443130493,인공지능학습데이터구축,정보통신,정보기술,인공지능
331951,2,20010703,0.660917341709137,인공지능모델링,정보통신,정보기술,인공지능
331951,3,20010701,0.6608712077140808,인공지능플랫폼구축,정보통신,정보기술,인공지능
331988,1,20010707,0.6737627387046814,생성형AI엔지니어링,정보통신,정보기술,인공지능
331988,2,20010706,0.6485206484794617,인공지능학습데이터구축,정보통신,정보기술,인공지능
331988,3,20010703,0.6220057010650635,인공지능모델링,정보통신,정보기술,인공지능
332059,1,20010706,0.6324654221534729,인공지능학습데이터구축,정보통신,정보기술,인공지능
332059,2,20010701,0.6235420107841492,인공지능플랫폼구축,정보통신,정보기술,인공지능
332059,3,20010707,0.5761477947235107,생성형AI엔지니어링,정보통신,정보기술,인공지능
332163,1,20010706,0.663521409034729,인공지능학습데이터구축,정보통신,정보기술,인공지능
332163,2,20010701,0.6506370306015015,인공지능플랫폼구축,정보통신,정보기술,인공지능
332163,3,20010707,0.6097466349601746,생성형AI엔지니어링,정보통신,정보기술,인공지능
332679,1,20010706,0.5454993844032288,인공지능학습데이터구축,정보통신,정보기술,인공지능
332679,2,20010703,0.4940166175365448,인공지능모델링,정보통신,정보기술,인공지능
332679,3,20010707,0.4933720827102661,생성형AI엔지니어링,정보통신,정보기술,인공지능
333308,1,20010706,0.6162766814231873,인공지능학습데이터구축,정보통신,정보기술,인공지능
333308,2,20010701,0.5768178105354309,인공지능플랫폼구축,정보통신,정보기술,인공지능
333308,3,20010707,0.5761967897415161,생성형AI엔지니어링,정보통신,정보기술,인공지능
334822,1,20010701,0.697501540184021,인공지능플랫폼구축,정보통신,정보기술,인공지능
334822,2,20010706,0.6736130714416504,인공지능학습데이터구축,정보통신,정보기술,인공지능
334822,3,20010707,0.6628984212875366,생성형AI엔지니어링,정보통신,정보기술,인공지능
335022,1,20010701,0.7313936352729797,인공지능플랫폼구축,정보통신,정보기술,인공지능
335022,2,20010707,0.685278058052063,생성형AI엔지니어링,정보통신,정보기술,인공지능
335022,3,20010706,0.6834020018577576,인공지능학습데이터구축,정보통신,정보기술,인공지능
335403,1,20010706,0.5487495064735413,인공지능학습데이터구축,정보통신,정보기술,인공지능
335403,2,20010701,0.5029829740524292,인공지능플랫폼구축,정보통신,정보기술,인공지능
335403,3,20010704,0.47618451714515686,인공지능서비스운영관리,정보통신,정보기술,인공지능
335990,1,20010706,0.5904042720794678,인공지능학습데이터구축,정보통신,정보기술,인공지능
335990,2,20010701,0.5566805005073547,인공지능플랫폼구축,정보통신,정보기술,인공지능
335990,3,20010703,0.5535599589347839,인공지능모델링,정보통신,정보기술,인공지능
336000,1,20010706,0.612615168094635,인공지능학습데이터구축,정보통신,정보기술,인공지능
336000,2,20010703,0.5353395938873291,인공지능모델링,정보통신,정보기술,인공지능
336000,3,20010705,0.5131058692932129,인공지능서비스구현,정보통신,정보기술,인공지능
336533,1,20010706,0.6622769832611084,인공지능학습데이터구축,정보통신,정보기술,인공지능
336533,2,20010701,0.6518625617027283,인공지능플랫폼구축,정보통신,정보기술,인공지능
336533,3,20010703,0.6238291263580322,인공지능모델링,정보통신,정보기술,인공지능
336824,1,20010707,0.7423524856567383,생성형AI엔지니어링,정보통신,정보기술,인공지능
336824,2,20010705,0.730337381362915,인공지능서비스구현,정보통신,정보기술,인공지능
336824,3,20010706,0.7201990485191345,인공지능학습데이터구축,정보통신,정보기술,인공지능
337343,1,20010706,0.7140046954154968,인공지능학습데이터구축,정보통신,정보기술,인공지능
337343,2,20010701,0.655652642250061,인공지능플랫폼구축,정보통신,정보기술,인공지능
337343,3,20010703,0.6320329904556274,인공지능모델링,정보통신,정보기술,인공지능
337842,1,20010706,0.6463983058929443,인공지능학습데이터구축,정보통신,정보기술,인공지능
337842,2,20010707,0.5867742300033569,생성형AI엔지니어링,정보통신,정보기술,인공지능
337842,3,20010703,0.5503488183021545,인공지능모델링,정보통신,정보기술,인공지능
