,인공지능플랫폼구축,인공지능서비스기획,인공지능모델링,인공지능서비스운영관리,인공지능서비스구현,인공지능학습데이터구축,생성형AI엔지니어링
인공지능플랫폼구축,,0.83612627,0.754825,0.7805599,0.80739933,0.7437686,0.7279066
인공지능서비스기획,0.83612627,,0.81540567,0.8327678,0.84841454,0.74167323,0.7542343
인공지능모델링,0.754825,0.81540567,,0.7492441,0.8451942,0.8184544,0.745054
인공지능서비스운영관리,0.7805599,0.8327678,0.7492441,,0.7821202,0.7097994,0.6386944
인공지능서비스구현,0.80739933,0.84841454,0.8451942,0.7821202,,0.7590535,0.7320802
인공지능학습데이터구축,0.7437686,0.74167323,0.8184544,0.7097994,0.7590535,,0.73215175
생성형AI엔지니어링,0.7279066,0.7542343,0.745054,0.6386944,0.7320802,0.73215175,
