세분류,샘플수,Precision,Recall,F1
인공지능플랫폼구축,37,1.0,0.5675675675675675,0.7241379310344828
인공지능서비스기획,41,1.0,0.9512195121951219,0.975
인공지능모델링,41,1.0,0.7317073170731707,0.8450704225352113
인공지능서비스운영관리,36,1.0,0.5,0.6666666666666666
인공지능서비스구현,37,1.0,0.7027027027027027,0.8253968253968254
