세분류,샘플수,Precision,Recall,F1
인공지능플랫폼구축,37,1.0,0.24324324324324326,0.391304347826087
인공지능서비스기획,41,1.0,0.2682926829268293,0.4230769230769231
인공지능모델링,41,1.0,0.36585365853658536,0.5357142857142857
인공지능서비스운영관리,36,1.0,0.16666666666666666,0.2857142857142857
인공지능서비스구현,37,1.0,0.1891891891891892,0.3181818181818182
