,인공지능플랫폼구축,인공지능서비스기획,인공지능모델링,인공지능서비스운영관리,인공지능서비스구현,인공지능학습데이터구축,생성형AI엔지니어링
인공지능플랫폼구축,9,0,4,2,1,6,15
인공지능서비스기획,2,11,0,0,13,0,15
인공지능모델링,0,0,15,0,4,3,19
인공지능서비스운영관리,5,4,2,6,6,1,12
인공지능서비스구현,8,0,0,0,7,2,20
인공지능학습데이터구축,0,0,0,0,0,0,0
생성형AI엔지니어링,0,0,0,0,0,0,0
