세분류,총샘플수,정확분류,오분류,정확도
인공지능플랫폼구축,37,9,28,0.24324324324324326
인공지능서비스기획,41,11,30,0.2682926829268293
인공지능모델링,41,15,26,0.36585365853658536
인공지능서비스운영관리,36,6,30,0.16666666666666666
인공지능서비스구현,37,7,30,0.1891891891891892
인공지능학습데이터구축,0,0,0,0.0
생성형AI엔지니어링,0,0,0,0.0
