모델,Accuracy,Macro Precision,Macro Recall,Macro F1
Ko-SBERT (1:1),0.1702127659574468,0.272522385022385,0.13702727117361263,0.1718157818263696
GPT-4o-mini (1:1),0.475177304964539,0.3076455741580436,0.3836885666153959,0.3364264997928364
Ko-SBERT (1:3),0.475177304964539,-,-,-
GPT-4o-mini (1:3),0.6453900709219859,-,-,-
